order_id,customer_id,product_sku,order_date,revenue,region,status
ORD-011762,CUST-4724,SKU-C3,2023-01-17 08:04:00,117.60291907531727,West,COMPLETED
ORD-024683,CUST-3803,SKU-B2,2023-02-04 06:46:00,117.60291907531727,West,pending
ORD-001096,CUST-3422,SKU-B2,2023-01-02 12:32:00,117.60291907531727,East,COMPLETED
ORD-040553,CUST-4590,SKU-A1,2023-02-26 07:46:00,117.60291907531727,East,COMPLETED
ORD-049353,CUST-0527,,2023-03-10 13:06:00,117.60291907531727,,COMPLETED
ORD-016905,CUST-1771,SKU-C3,2023-01-24 11:30:00,117.60291907531727,Central,COMPLETED
ORD-023443,CUST-2647,SKU-A1,2023-02-02 13:26:00,117.60291907531727,Central,pending
ORD-032591,CUST-4020,SKU-A1,2023-02-15 06:22:00,117.60291907531727,West,pending
ORD-031049,CUST-0853,SKU-C3,2023-02-13 02:58:00,117.60291907531727,Central,completed
ORD-014331,CUST-2621,,2023-01-20 21:42:00,117.60291907531727,,COMPLETED
ORD-027580,CUST-4982,,2023-02-08 07:20:00,117.60291907531727,West,completed
ORD-001574,CUST-4588,SKU-C3,2023-01-03 04:28:00,117.60291907531727,Central,completed
ORD-046589,CUST-0557,SKU-A1,2023-03-06 16:58:00,117.60291907531727,East,pending
ORD-049968,CUST-1350,SKU-A1,2023-03-11 09:36:00,117.60291907531727,East,completed
ORD-006590,CUST-0582,SKU-C3,2023-01-10 03:40:00,117.60291907531727,Central,completed
ORD-024391,CUST-0543,SKU-B2,2023-02-03 21:02:00,117.60291907531727,West,COMPLETED
ORD-044418,CUST-3852,SKU-A1,2023-03-03 16:36:00,117.60291907531727,Central,COMPLETED
ORD-040737,CUST-2213,SKU-B2,2023-02-26 13:54:00,117.60291907531727,East,completed
ORD-010829,CUST-3109,SKU-C3,2023-01-16 00:58:00,117.60291907531727,East,pending
ORD-003876,CUST-2447,SKU-C3,2023-01-06 09:12:00,117.60291907531727,East,COMPLETED
ORD-014452,CUST-3420,SKU-A1,2023-01-21 01:44:00,117.60291907531727,,pending
ORD-033892,CUST-0359,SKU-A1,2023-02-17 01:44:00,117.60291907531727,East,pending
ORD-007117,CUST-2709,,2023-01-10 21:14:00,117.60291907531727,,COMPLETED
ORD-035727,CUST-4848,SKU-A1,2023-02-19 14:54:00,117.60291907531727,East,COMPLETED
ORD-048381,CUST-1357,SKU-C3,2023-03-09 04:42:00,117.60291907531727,,pending
ORD-049342,CUST-3160,SKU-A1,2023-03-10 12:44:00,117.60291907531727,East,COMPLETED
ORD-010236,CUST-0222,SKU-B2,2023-01-15 05:12:00,117.60291907531727,,pending
ORD-039912,CUST-3694,SKU-C3,2023-02-25 10:24:00,117.60291907531727,Central,pending
ORD-006708,CUST-3874,SKU-B2,2023-01-10 07:36:00,117.60291907531727,Central,completed
ORD-016300,CUST-3443,SKU-A1,2023-01-23 15:20:00,117.60291907531727,Central,pending
ORD-001864,CUST-4777,SKU-A1,2023-01-03 14:08:00,117.60291907531727,East,COMPLETED
ORD-003040,CUST-2868,SKU-B2,2023-01-05 05:20:00,117.60291907531727,East,COMPLETED
ORD-009524,CUST-3213,SKU-B2,2023-01-14 05:28:00,117.60291907531727,Central,completed
ORD-017479,CUST-3688,SKU-C3,2023-01-25 06:38:00,117.60291907531727,,pending
ORD-034571,CUST-1564,SKU-B2,2023-02-18 00:22:00,117.60291907531727,,COMPLETED
ORD-015317,CUST-0651,,2023-01-22 06:34:00,117.60291907531727,Central,COMPLETED
